Application	Title	Storage Scheme	Status
8j	shanwei ba jing	Master/Slave (Migrate to High Replication)	 Running
able	able men are always bu	Master/Slave (Migrate to High Replication)	 None Deployed
ago	long long ago page	Master/Slave (Migrate to High Replication)	 None Deployed
far	far from here	Master/Slave (Migrate to High Replication)	 None Deployed
ferry	ferry boat	Master/Slave	 Running
ferry-hrd	ferry boat	High Replication	 Running
(Read-Only Datastore)
hy	why's home	Master/Slave (Migrate to High Replication)	 Running
warm	warm up	Master/Slave (Migrate to High Replication)	 Running
wed	Wednesday	Master/Slave (Migrate to High Replication)	 None Deployed
wjy	wjy's home	Master/Slave (Migrate to High Replication)	 None Deployed
